Region,Estimated_fire_area,Temperature_Mean,WindSpeed_Mean
NSW,8.68,23.05552749230301,4.841764063578206
NSW,16.61125,22.42576481494337,4.014079796383093
NSW,5.52,20.62140488125409,4.477879114021423
NSW,6.264,19.6327218335277,4.017578220936326
NSW,5.4,21.47731529835104,3.884550300058537
NSW,13.72142857,23.23586751844108,3.429649566872369
NSW,16.62545455,24.66672018162641,3.396649230646321
NSW,32.784375,26.97438775933897,3.741205572641142
NSW,16.48615385,27.88175214453734,2.833893943121305
NSW,42.64,30.36266145484361,2.847983685074982
NSW,37.12,30.94736809254915,3.443490248402782
NSW,4.3,28.49493157563303,4.077052498612079
NSW,7.98,21.16089175880898,4.863901926832788
NSW,5.5,20.9891505221904,4.207590101333263
NSW,14.30555556,24.19069860501337,3.091909947483275
NSW,8.375,27.92371881650849,4.061279140233052
NSW,24.2,25.03125123309084,4.344866193128491
NSW,7.68,26.73274086725169,3.162694988677067
NSW,4.0,26.9834731045094,3.789269606986356
NSW,4.5,24.79119888096176,4.641827613901937
NSW,19.81875,25.08929373019703,3.473985139251057
NSW,18.91111111,26.15384580870176,2.810790668535763
NSW,12.87142857,27.58844194831945,2.704827450251623
NSW,31.02363636,26.2859553456448,3.563123148648998
NSW,12.21285714,26.58677863013867,3.081852823230657
NSW,8.486666667,28.34377505831648,2.35302515952415
NSW,6.586666667,27.05963605150197,5.140825008798647
NSW,3.2,16.31492746202336,4.318062527524227
NSW,7.505714286,19.02501038554155,3.648587182341868
NSW,25.68909091,20.44493468862471,2.783196010983985
NSW,14.43,23.52668601452277,2.485069268105898
NSW,20.915,27.64577400867596,2.972137403714004
NSW,12.08666667,27.76414159692164,4.506775209171429
NSW,10.6425,20.9753286065007,3.468056040093065
NSW,10.98666667,21.9997525532028,3.196284199047616
NSW,11.96333333,22.02844077318156,4.102277871447448
NSW,4.306666667,22.77326054330101,3.327890033379915
NSW,2.0,25.81637666446453,2.735444644288194
NSW,7.41,26.14836908772924,3.418757396867007
NSW,9.66,22.33835918185797,4.262830388534775
NSW,28.38461538,22.71305901137413,3.206613393482465
NSW,15.87818182,26.65712859988864,3.646211958490407
NSW,40.46,24.78382733275449,4.061271487566469
NSW,43.90571429,24.77262617344493,2.598687407882544
NSW,15.94285714,25.86565866623529,2.48082236760343
NSW,52.72914286,27.05872031237758,2.329999686155646
NSW,9.066666667,26.44154618064627,3.31505384658076
NSW,2.0,24.76836816333796,3.142131829790348
NSW,1.0,24.74064919935549,3.464738779003786
NSW,76.3776,27.34311937498651,3.188044337566
NSW,54.96195122,28.21002674983812,3.750878424055536
NSW,117.0517241,24.91824557507224,3.805992499472195
NSW,22.72941176,24.90615234442893,3.129773309983424
NSW,69.40606061,24.87548512498328,3.465173398553192
NSW,37.028125,17.44071508791612,4.805367234433755
NSW,8.668571429,17.01064008263468,3.08452268302397
NSW,88.12777778,19.71756009486664,3.088345270059166
NSW,37.32,20.70089835250773,2.815172044331317
